#MID_MJD Flux FluxErr
57180.25 7.73295E-07 2.9894E-07
57180.75 8.241589E-07 3.181916E-07
57181.25 6.534764E-07 2.642874E-07
57181.75 7.972586E-07 3.956872E-07
57182.25 3.361206E-07 2.094716E-07
57182.75 3.643362E-07 2.320607E-07
57183.25 6.111916E-08 6.401303E-08
57183.75 2.697089E-07 2.130141E-07
57184.25 8.191563E-07 3.426562E-07
57184.75 3.526058E-06 5.906571E-07
57185.25 8.236182E-07 2.756794E-07
57185.75 5.694683E-07 3.273677E-07
57186.25 1.505441E-06 3.944694E-07
57186.75 1.314267E-06 3.910349E-07
57187.25 1.339695E-05 8.72427E-07
57187.75 1.845295E-05 1.29081E-06
57188.25 1.624548E-05 9.49198E-07
57188.75 1.323138E-05 7.131449E-07
57189.25 2.855294E-05 6.131753E-07
57189.75 1.547392E-05 5.789632E-07
57190.25 3.459308E-06 2.555523E-07
57190.75 2.260012E-06 2.583237E-07
57191.25 1.578689E-06 1.758093E-07
57191.75 1.392751E-06 2.084357E-07
57192.25 1.101752E-06 1.64844E-07
57192.75 1.320295E-06 2.117185E-07
57193.25 7.436518E-07 1.371001E-07
57193.75 5.315952E-07 1.407882E-07
57194.25 8.42762E-07 1.499122E-07
57194.75 7.691701E-07 1.743807E-07
57195.25 1.047013E-06 1.540243E-07
57195.75 1.282097E-06 2.115644E-07

