#MJD Flux_R Flux_R_err
5.718099858999997377e+04 2.291662807871111944e-26 1.262926858792246795e-28
5.718200289000011981e+04 2.455560939728917777e-26 1.353250510298977587e-28
5.718300125000020489e+04 2.482851336700782228e-26 1.140766567034334619e-28
57185.1693 2.72992500e-26 4.36484822e-28
57185.85718 2.366093715e-26 3.64963274099781e-28
57187.2297800002 2.96859339e-26 6.75734355e-28
57188.2137699998 3.94957819e-26 8.99033758e-28
57188.96903 4.20485202e-26 3.85503150e-28
57189.2393508334 4.36094478e-26 1.76107738891797e-27
57190.00619325 3.91593921e-26 1.82276409206146e-27
57191.1047875001 3.2819646e-26 1.60462368936137e-27
57191.95498 3.19558752e-26 5.10939109e-28
57192.218225 3.16010753e-26 4.5100940625e-28
57193.1085983333 3.37319039e-26 1.83949282853341e-27
57193.97678 3.57890950e-26 3.28116395e-28
57194.2196533334 3.36836029666667e-26 8.75913049838755e-28
57195.2200425001 3.83219641182696E-26 2.64304783634036E-28

