#MJD Flux_V Flux_V_err
5.718099858999997377e+04 1.706108620554939363e-26 1.096430604877596187e-28
5.718200289000011981e+04 1.841648219008281108e-26 1.014925490889807038e-28
5.718300125000020489e+04 1.863831628901451233e-26 1.027150685659913797e-28
57185.1693 2.03426102e-26 3.25255843e-28
57186.01721 1.90724584e-26 2.61683940e-28
57187.22978 2.43000226e-26 5.53136045e-28
57188.21377 3.20336685e-26 7.29175319e-28
57189.200528 3.528217176e-26 3.95976986169278e-28
57189.98978 3.18278042e-26 2.91799063e-28
57190.226065 2.96268147e-26 5.01939762125e-28
57190.98212 2.48431509e-26 2.84377197e-28
57191.227455 2.6535900725e-26 6.729688375e-28
57192.165576 2.53193683e-26 3.06946550420811e-28
57192.97314 2.56098289e-26 5.25257965e-28
57193.2440566667 2.69993587e-26 8.21570872583509e-28
57194.07252 2.64488878e-26 5.27331551854581e-28
57194.24535 2.84381501e-26 1.32128733220777e-27
57195.2200425001 3.25062758683049E-26 2.96653199678203E-28

